Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
43	Spectrogram 1	1	350.450000	350.530000	4000.000000	18000.000000	8000.000000	Trillphee	8.577354	14.370137	NaN	NaN	63.471425	0.000000
44	Spectrogram 1	1	364.050000	364.090000	4000.000000	18000.000000	8000.000000	Twitter	12.450469	25.338524	NaN	NaN	82.753815	0.000000
45	Spectrogram 1	1	364.160000	364.950000	4000.000000	18000.000000	8000.000000	Twitter	7.569252	15.642086	NaN	NaN	44.062749	0.000000
46	Spectrogram 1	1	368.890000	369.040000	4000.000000	18000.000000	8000.000000	Trill	8.923419	11.839109	NaN	NaN	50.879552	0.000000
47	Spectrogram 1	1	372.970000	373.170000	4000.000000	18000.000000	8000.000000	Trill	5.365040	10.051024	NaN	NaN	35.843392	0.000000
48	Spectrogram 1	1	375.160000	375.350000	4000.000000	18000.000000	8000.000000	P-peep	4.273816	8.807952	NaN	NaN	37.796739	0.000000
49	Spectrogram 1	1	378.250000	378.450000	4000.000000	18000.000000	8000.000000	Trill	10.110524	14.807492	NaN	NaN	62.397748	0.000000
50	Spectrogram 1	1	379.800000	379.950000	4000.000000	18000.000000	8000.000000	Trillphee	12.423721	16.532855	NaN	NaN	76.125155	0.000000
51	Spectrogram 1	1	382.060000	382.600000	4000.000000	18000.000000	8000.000000	Trill	11.205373	16.853499	NaN	NaN	76.836766	0.000000
52	Spectrogram 1	1	384.040000	384.220000	4000.000000	18000.000000	8000.000000	Trill	12.661817	15.946400	NaN	NaN	75.984417	0.000000
53	Spectrogram 1	1	385.140000	385.620000	4000.000000	18000.000000	8000.000000	Trill	7.719300	12.527072	NaN	NaN	50.336936	0.000000
54	Spectrogram 1	1	386.090000	386.500000	4000.000000	18000.000000	8000.000000	Trill	4.021038	9.748683	NaN	NaN	45.550069	0.000000
