Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	6	85.180000	85.380000	4000.000000	18000.000000	8000.000000	Trill	3.282349	7.806703	-7.420035	1.719528	35.195308	0.000000
2	Spectrogram 1	5	91.440000	92.120000	4000.000000	18000.000000	8000.000000	Trill	6.469424	11.734741	2.083510	2.947757	61.360466	0.000000
3	Spectrogram 1	5	94.450000	95.190000	4000.000000	18000.000000	8000.000000	Trillphee	5.502142	11.815344	2.599788	4.972605	77.355342	0.000000
4	Spectrogram 1	6	134.680000	134.820000	4000.000000	18000.000000	8000.000000	Trill	9.436828	11.846242	-2.057166	4.122716	71.766997	0.000000
5	Spectrogram 1	1	95.540000	95.570000	4000.000000	18000.000000	8000.000000	Tse	4.457215	5.949019	NaN	NaN	40.557291	0.000000
6	Spectrogram 1	1	160.860000	161.310000	4000.000000	18000.000000	8000.000000	Trillphee	7.125503	12.051121	NaN	NaN	97.554834	0.000000
7	Spectrogram 1	1	178.040000	178.360000	4000.000000	18000.000000	8000.000000	Trillphee	4.260170	8.674602	NaN	NaN	68.844785	0.000000
8	Spectrogram 1	1	178.470000	179.020000	4000.000000	18000.000000	8000.000000	Trillphee	7.561520	14.563080	NaN	NaN	96.016154	0.000000
9	Spectrogram 1	1	251.670000	251.710000	4000.000000	18000.000000	8000.000000	Trill	5.961643	6.071293	NaN	NaN	32.919212	0.000000
10	Spectrogram 1	1	349.490000	349.530000	4000.000000	18000.000000	8000.000000	Sd-peep	4.587951	5.610832	NaN	NaN	39.914234	0.000000
11	Spectrogram 1	1	409.720000	409.830000	4000.000000	18000.000000	8000.000000	Trill	4.965590	14.613704	NaN	NaN	98.071199	0.000000
12	Spectrogram 1	2	197.420000	197.600000	4000.000000	18000.000000	8000.000000	Trill	3.725430	6.830739	NaN	NaN	44.072846	0.000000
