Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	5	3.280	3.890	4000.0	18000.0	9375.0	Trill	3.078849	6.080531	0.517040	1.091477	31.621887	0.000000
2	Spectrogram 1	5	4.990	5.110	4000.0	18000.0	8593.7	Trillphee	3.708967	8.399853	2.880675	3.726670	55.903782	0.000000
3	Spectrogram 1	5	5.130	5.200	4000.0	18000.0	8593.7	Trillphee	3.430286	7.363067	0.948480	0.768884	38.542071	0.000000
4	Spectrogram 1	5	5.250	5.830	4000.0	18000.0	10351.6	P-peep	3.768172	10.431743	1.407131	1.740042	60.817753	0.000000
5	Spectrogram 1	5	8.940	9.770	4000.0	18000.0	8984.4	Trillphee	0.251869	7.194826	2.016128	1.696720	37.137401	0.000000
6	Spectrogram 1	5	10.640	10.780	4000.0	18000.0	8593.7	P-peep	1.333356	7.168141	0.086928	0.364621	34.129560	0.000000
7	Spectrogram 1	5	11.040	11.100	4000.0	18000.0	9570.3	P-peep	6.026817	13.194503	5.090995	6.029810	66.170850	0.000000
8	Spectrogram 1	5	11.150	11.220	4000.0	18000.0	9765.6	P-peep	2.075007	8.843650	5.006705	2.972925	37.465129	0.000000
9	Spectrogram 1	5	11.260	11.420	4000.0	18000.0	9960.9	P-peep	6.414566	13.449469	6.208526	6.120880	69.129672	0.000000
10	Spectrogram 1	5	11.540	11.580	4000.0	18000.0	8593.7	Trill	1.441675	6.593640	2.254669	3.109115	30.860862	0.000000
1782	Spectrogram 1	2	13.680	13.750	4000.0	18000.0	8789.1	Trill	4.447467	8.238643	NaN	NaN	45.665851	0.000000
11	Spectrogram 1	5	14.180	15.420	4000.0	18000.0	10156.2	Trillphee	-0.025884	8.454479	4.182698	3.338549	44.464655	0.000000
12	Spectrogram 1	5	17.980	18.150	4000.0	18000.0	8203.1	Trillphee	3.571331	14.676132	3.872685	7.507488	63.732729	0.000000
13	Spectrogram 1	5	18.200	18.330	4000.0	18000.0	8398.4	Trillphee	1.881974	10.959163	0.846293	3.892966	45.518831	0.000000
14	Spectrogram 1	5	18.360	18.510	4000.0	18000.0	8398.4	Trillphee	1.937983	9.256939	3.868339	6.737183	42.767896	0.000000
15	Spectrogram 1	5	18.560	19.470	4000.0	18000.0	7226.6	Trillphee	5.060126	15.202107	3.550203	8.614224	72.070046	0.000000
16	Spectrogram 1	5	22.860	24.170	4000.0	18000.0	8203.1	Trillphee	6.329797	16.861988	0.840509	4.100363	79.174195	0.000000
17	Spectrogram 1	5	26.960	27.840	4000.0	18000.0	8984.4	Trillphee	5.940160	16.809849	3.511894	5.940288	82.825610	0.000000
1714	Spectrogram 1	1	28.290	28.500	4000.0	18000.0	8203.1	Trill	6.033396	9.241481	NaN	NaN	47.637274	0.000000
18	Spectrogram 1	5	28.940	29.020	4000.0	18000.0	4101.6	Trill	4.762826	6.368297	0.668342	-0.147205	30.580115	0.000000
19	Spectrogram 1	5	32.000	32.340	4000.0	18000.0	8593.7	Trill	4.511533	9.744603	6.304128	2.694594	46.684675	0.000000
20	Spectrogram 1	5	35.520	35.990	4000.0	18000.0	9179.7	Trill	5.351701	10.222728	3.389495	2.246473	59.020359	0.000000
21	Spectrogram 1	5	40.290	40.570	4000.0	18000.0	8593.7	Trill	2.990539	7.075955	2.337142	1.952370	35.552335	0.000000
22	Spectrogram 1	5	40.670	41.150	4000.0	18000.0	10742.2	Trill	5.962756	15.641086	7.076341	7.151531	77.395159	0.000000
23	Spectrogram 1	5	48.300	48.550	4000.0	18000.0	8789.1	Trillphee	3.027845	5.338005	2.776002	1.853556	33.304466	0.000000
24	Spectrogram 1	5	48.760	48.810	4000.0	18000.0	10156.2	P-peep	4.534737	12.447334	6.614194	6.435220	65.655086	0.000000
25	Spectrogram 1	5	49.130	49.210	4000.0	18000.0	7226.6	Trill	4.924209	8.214776	2.116684	-0.393577	35.439313	0.000000
26	Spectrogram 1	5	54.370	54.420	4000.0	18000.0	8593.7	P-peep	4.933044	7.253935	3.598197	1.620749	46.565179	0.000000
