Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	5	2.360	2.890	4000.0	18000.0	5273.4	Trill	5.696136	10.357839	0.145550	0.136122	46.866336	0.000000
2	Spectrogram 1	5	9.450	10.060	4000.0	18000.0	8593.7	Trill	6.067862	10.509871	0.658449	-0.305634	46.817372	0.000000
3	Spectrogram 1	6	29.920	30.110	4000.0	18000.0	8007.8	Trill	4.853875	9.162386	-2.582038	3.335966	45.707633	0.000000
4	Spectrogram 1	6	30.170	30.210	4000.0	18000.0	7617.2	Trill	3.868873	7.225380	-2.824801	3.144441	44.353440	0.000000
5	Spectrogram 1	6	45.180	45.520	4000.0	18000.0	7421.9	Trill	4.306164	8.638792	-0.829568	0.287413	34.645840	0.000000
6	Spectrogram 1	6	50.420	50.540	4000.0	18000.0	4101.6	Trill	6.558887	8.233045	-0.200977	0.044503	41.459690	0.000000
7	Spectrogram 1	6	54.690	54.900	4000.0	18000.0	8789.1	Trill	5.760476	9.630629	-0.081348	2.062999	48.837466	0.000000
8	Spectrogram 1	6	69.540	69.760	4000.0	18000.0	8593.7	Trill	4.217615	8.085621	-0.893527	2.043139	38.348680	0.000000
9	Spectrogram 1	6	71.730	72.130	4000.0	18000.0	6835.9	Trill	5.468738	9.731433	-1.076659	0.807585	45.119226	0.000000
10	Spectrogram 1	6	75.270	75.900	4000.0	18000.0	7421.9	Trill	4.955097	10.663571	-0.309313	0.606072	52.233761	0.000000
881	Spectrogram 1	1	79.670	79.860	4000.0	18000.0	7617.2	Trill	9.705832	13.921480	NaN	NaN	72.883356	0.000000
11	Spectrogram 1	5	91.630	92.470	4000.0	18000.0	5273.4	Twitter	-1.220395	13.169709	4.816977	-2.998959	17.915605	0.000000
12	Spectrogram 1	5	93.540	93.670	4000.0	18000.0	9375.0	Trill	6.787425	9.593654	0.952254	-0.867904	46.033162	0.000000
13	Spectrogram 1	6	94.860	95.380	4000.0	18000.0	17968.7	Trill	2.825525	8.197018	-0.770627	0.139132	36.227713	0.000000
14	Spectrogram 1	6	95.450	96.750	4000.0	18000.0	6835.9	Twitter	5.053271	13.034610	-0.672785	0.872073	41.945093	0.000000
15	Spectrogram 1	6	99.560	100.050	4000.0	18000.0	7421.9	Trill	4.261319	8.032193	-1.044147	0.866372	34.010758	0.000000
16	Spectrogram 1	6	106.200	106.480	4000.0	18000.0	5468.7	Trill	1.085400	7.829797	-5.046316	0.440192	33.361793	0.000000
17	Spectrogram 1	6	108.570	108.840	4000.0	18000.0	7812.5	Trill	3.643513	6.909624	-2.864305	1.686219	35.373308	0.000000
18	Spectrogram 1	5	110.470	110.700	4000.0	18000.0	5664.1	Twitter	-1.271687	7.078240	8.436487	-1.929567	21.182804	0.000000
