Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
36	Spectrogram 1	5	142.380	142.720	4000.0	18000.0	16406.2	Trill	5.505231	5.874196	0.674780	-0.151212	29.333614	0.000000
37	Spectrogram 1	6	146.300	146.380	4000.0	18000.0	4296.9	Phee	3.359574	4.150872	-0.119002	0.163648	29.664691	0.000000
38	Spectrogram 1	5	147.860	147.900	4000.0	18000.0	17382.8	Sd-peep	5.897704	5.395200	0.015725	0.347237	29.408127	0.000000
39	Spectrogram 1	6	152.110	153.590	4000.0	18000.0	4101.6	Trill	4.085146	17.808286	-1.174279	4.216880	73.458776	0.000000
40	Spectrogram 1	6	153.670	153.880	4000.0	18000.0	4101.6	Trill	5.511125	9.812894	-3.130208	-3.986911	41.454211	0.000000
974	Spectrogram 1	2	156.450	156.490	4000.0	18000.0	7031.2	Trill	6.630398	5.033795	NaN	NaN	29.978177	0.000000
41	Spectrogram 1	6	161.330	162.910	4000.0	18000.0	8398.4	Phee	2.161796	26.880369	-0.467606	14.201209	79.644036	0.000000
42	Spectrogram 1	5	163.430	164.830	4000.0	18000.0	8007.8	Phee	1.124715	27.227979	5.064148	13.186467	77.958519	0.000000
975	Spectrogram 1	2	165.510	165.540	4000.0	18000.0	4687.5	Trillphee	5.017198	5.429410	NaN	NaN	34.408962	0.000000
43	Spectrogram 1	5	166.510	166.930	4000.0	18000.0	17187.5	Trill	3.172750	5.994170	4.654880	0.179030	36.878681	0.000000
44	Spectrogram 1	6	167.920	168.050	4000.0	18000.0	5664.1	Trillphee	4.428213	4.516389	-0.528950	0.598931	35.328889	0.000000
45	Spectrogram 1	5	169.580	169.680	4000.0	18000.0	8007.8	Trill	5.350843	7.027793	1.162647	2.450020	42.721176	0.000000
46	Spectrogram 1	5	173.110	173.140	4000.0	18000.0	8789.1	P-peep	7.235327	5.842936	0.055807	0.200667	36.611301	0.000000
47	Spectrogram 1	5	175.100	175.320	4000.0	18000.0	8007.8	Trill	14.258050	18.282947	8.025798	5.259168	152.941235	0.000000
48	Spectrogram 1	5	175.440	175.540	4000.0	18000.0	5078.1	P-peep	7.521903	8.108829	0.403140	-2.571012	67.152412	0.000000
49	Spectrogram 1	5	175.580	175.630	4000.0	18000.0	15820.3	P-peep	6.093261	6.438585	4.685311	0.348782	57.760574	0.000000
50	Spectrogram 1	6	180.770	181.150	4000.0	18000.0	4101.6	Trill	2.686181	5.572705	-0.629165	-1.265056	34.506538	0.000000
51	Spectrogram 1	5	181.350	181.730	4000.0	18000.0	7617.2	Trill	2.713868	8.967287	2.205137	0.407842	46.065987	0.000000
52	Spectrogram 1	5	194.440	194.580	4000.0	18000.0	4687.5	Trillphee	9.268947	10.899253	2.420268	-0.000708	28.030610	0.000000
53	Spectrogram 1	5	197.350	197.410	4000.0	18000.0	5078.1	Phee	8.610894	9.609241	2.914564	-0.342732	35.867773	0.000000
54	Spectrogram 1	5	198.310	198.940	4000.0	18000.0	8007.8	Trill	8.923713	10.130209	1.780675	1.946367	62.589907	0.000000
55	Spectrogram 1	6	200.610	200.940	4000.0	18000.0	5468.7	Trill	1.975345	5.731551	-0.049830	0.005222	34.008255	0.000000
976	Spectrogram 1	2	201.570	201.650	4000.0	18000.0	5468.7	Phee	3.837075	3.726295	NaN	NaN	28.340630	0.000000
56	Spectrogram 1	5	209.480	211.520	4000.0	18000.0	7812.5	Phee	2.074395	19.818292	7.317095	6.734321	58.435987	0.000000
57	Spectrogram 1	5	214.190	214.910	4000.0	18000.0	8593.7	Phee	6.566192	11.283868	7.276380	6.230517	67.603793	0.000000
58	Spectrogram 1	5	215.410	215.480	4000.0	18000.0	4101.6	Trill	7.105729	6.180734	5.475211	0.414625	28.438939	0.000000
59	Spectrogram 1	5	216.430	216.480	4000.0	18000.0	5078.1	Trill	7.683324	6.917515	4.870399	0.597831	28.295705	0.000000
